hitter_name,team,plate_appearances,games,composite_score,grade,tier,ops,woba,wrc_plus,xwoba,xba,xslg,hard_hit_pct,barrel_pct,k_bb_ratio,avg,hr,rbi,sb,strengths,weaknesses,score_breakdown,rank
Michael Conforto,LAD,414,119,45.2,D+,Below Average,0.628,0.283,80,0.336,0.241,0.419,43.4,9.4,2.24,0.19,10,29,1,HardHit%: 43.4; Barrel%: 9.4,OPS: 0.628; wOBA: 0.283; wRC+: 80,"{'OPS': {'value': 0.628, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wOBA': {'value': 0.283, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 80, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'xwOBA': {'value': 0.336, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.241, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.419, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 43.4, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 9.4, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 2.24, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",199
Bryson Stott,PHI,475,125,45.2,D+,Below Average,0.69,0.305,93,0.308,0.244,0.381,28.7,4.3,1.71,0.248,9,55,23,K:BB: 1.71,OPS: 0.69; wOBA: 0.305; wRC+: 93,"{'OPS': {'value': 0.69, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.305, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 93, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.308, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.244, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.381, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 28.7, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'Barrel%': {'value': 4.3, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'K:BB': {'value': 1.71, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",200
Nathaniel Lowe,- - -,528,130,45.2,D+,Below Average,0.676,0.297,88,0.312,0.239,0.389,40.6,7.1,2.66,0.222,17,75,1,HardHit%: 40.6,OPS: 0.676; wOBA: 0.297; wRC+: 88,"{'OPS': {'value': 0.676, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.297, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 88, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.312, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.239, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.389, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 40.6, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 7.1, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 2.66, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",201
Jorge Soler,LAA,315,82,44.6,D,Poor,0.68,0.298,88,0.304,0.213,0.401,41.3,12.7,3.35,0.215,12,34,0,HardHit%: 41.3; Barrel%: 12.7,OPS: 0.68; wOBA: 0.298; wRC+: 88,"{'OPS': {'value': 0.68, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.298, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 88, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.304, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.213, 'percentile_score': 20, 'weight': 0.1, 'contribution': 2.0}, 'xSLG': {'value': 0.401, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 41.3, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 12.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 3.35, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",202
Brooks Lee,MIN,443,117,44.2,D,Poor,0.677,0.295,87,0.305,0.249,0.395,38.7,6.3,2.95,0.244,14,57,2,None identified,OPS: 0.677; wOBA: 0.295; wRC+: 87,"{'OPS': {'value': 0.677, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.295, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 87, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.305, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.249, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.395, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 38.7, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 6.3, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 2.95, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",203
Cedric Mullins,- - -,452,116,43.2,D,Poor,0.714,0.311,100,0.294,0.217,0.351,35.7,6.1,2.34,0.223,16,56,20,None identified,OPS: 0.714; wOBA: 0.311; xwOBA: 0.294,"{'OPS': {'value': 0.714, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.311, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 100, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.294, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.217, 'percentile_score': 20, 'weight': 0.1, 'contribution': 2.0}, 'xSLG': {'value': 0.351, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 35.7, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 6.1, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 2.34, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",204
Chase Meidroth,CHW,409,99,40.9,D,Poor,0.657,0.297,88,0.304,0.256,0.338,37.4,1.6,1.47,0.253,4,21,13,K:BB: 1.47,OPS: 0.657; wOBA: 0.297; wRC+: 88,"{'OPS': {'value': 0.657, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.297, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 88, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.304, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.256, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.338, 'percentile_score': 20, 'weight': 0.1, 'contribution': 2.0}, 'HardHit%': {'value': 37.4, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 1.6, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'K:BB': {'value': 1.47, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",205
Spencer Steer,CIN,504,128,40.6,D,Poor,0.702,0.307,91,0.292,0.222,0.363,31.6,7.200000000000001,2.7,0.235,17,63,6,None identified,OPS: 0.702; wOBA: 0.307; wRC+: 91,"{'OPS': {'value': 0.702, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.307, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 91, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.292, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.222, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.363, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 31.6, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'Barrel%': {'value': 7.200000000000001, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 2.7, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",206
Alek Thomas,ARI,407,121,40.6,D,Poor,0.66,0.288,81,0.299,0.253,0.39,40.6,8.3,6.38,0.249,8,35,6,HardHit%: 40.6; Barrel%: 8.3,OPS: 0.66; wOBA: 0.288; wRC+: 81,"{'OPS': {'value': 0.66, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.288, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 81, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'xwOBA': {'value': 0.299, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.253, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.39, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 40.6, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 8.3, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 6.38, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",207
JJ Bleday,ATH,303,82,40.2,D,Poor,0.697,0.303,89,0.289,0.206,0.356,39.5,7.400000000000001,2.22,0.21,12,32,1,None identified,OPS: 0.697; wOBA: 0.303; wRC+: 89,"{'OPS': {'value': 0.697, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.303, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 89, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.289, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.206, 'percentile_score': 20, 'weight': 0.1, 'contribution': 2.0}, 'xSLG': {'value': 0.356, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 39.5, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 7.400000000000001, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 2.22, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",208
Ernie Clement,TOR,506,134,39.8,F,Poor,0.7,0.304,93,0.292,0.265,0.363,26.1,2.4,2.53,0.273,9,41,4,xBA: 0.265,OPS: 0.7; wOBA: 0.304; wRC+: 93,"{'OPS': {'value': 0.7, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.304, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 93, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.292, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.265, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.363, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 26.1, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'Barrel%': {'value': 2.4, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'K:BB': {'value': 2.53, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",209
Austin Wells,NYY,383,106,39.6,F,Poor,0.696,0.296,88,0.297,0.217,0.412,44.7,10.1,3.86,0.21,19,61,5,HardHit%: 44.7; Barrel%: 10.1,OPS: 0.696; wOBA: 0.296; wRC+: 88,"{'OPS': {'value': 0.696, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.296, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 88, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.297, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.217, 'percentile_score': 20, 'weight': 0.1, 'contribution': 2.0}, 'xSLG': {'value': 0.412, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 44.7, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 10.1, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 3.86, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",210
Masyn Winn,STL,516,123,39.6,F,Poor,0.681,0.3,93,0.29,0.245,0.354,34.6,5.0,3.0,0.256,9,51,9,None identified,OPS: 0.681; wOBA: 0.3; wRC+: 93,"{'OPS': {'value': 0.681, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.3, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 93, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.29, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.245, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.354, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 34.6, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'Barrel%': {'value': 5.0, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'K:BB': {'value': 3.0, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",211
Xavier Edwards,MIA,545,121,39.2,F,Poor,0.698,0.309,95,0.293,0.264,0.334,29.600000000000005,0.7,1.81,0.284,2,34,24,xBA: 0.264; K:BB: 1.81,OPS: 0.698; wOBA: 0.309; wRC+: 95,"{'OPS': {'value': 0.698, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.309, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 95, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.293, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.264, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.334, 'percentile_score': 20, 'weight': 0.1, 'contribution': 2.0}, 'HardHit%': {'value': 29.600000000000005, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'Barrel%': {'value': 0.7, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'K:BB': {'value': 1.81, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",212
Dane Myers,MIA,318,99,38.2,F,Poor,0.618,0.276,72,0.308,0.251,0.395,39.9,7.3,3.28,0.233,6,27,17,None identified,OPS: 0.618; wOBA: 0.276; wRC+: 72,"{'OPS': {'value': 0.618, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wOBA': {'value': 0.276, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 72, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'xwOBA': {'value': 0.308, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.251, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.395, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 39.9, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 7.3, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 3.28, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",213
Jake Mangum,TBR,344,94,38.0,F,Poor,0.688,0.303,91,0.281,0.257,0.346,33.8,2.5,3.3,0.291,2,34,21,None identified,OPS: 0.688; wOBA: 0.303; wRC+: 91,"{'OPS': {'value': 0.688, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.303, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 91, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.281, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.257, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.346, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 33.8, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'Barrel%': {'value': 2.5, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'K:BB': {'value': 3.3, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",214
Nolan Arenado,STL,394,96,37.5,F,Poor,0.66,0.286,83,0.296,0.25,0.373,33.0,4.0,1.39,0.235,10,43,2,K:BB: 1.39,OPS: 0.66; wOBA: 0.286; wRC+: 83,"{'OPS': {'value': 0.66, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.286, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 83, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'xwOBA': {'value': 0.296, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.25, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.373, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 33.0, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'Barrel%': {'value': 4.0, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'K:BB': {'value': 1.39, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",215
Luis Rengifo,LAA,471,126,37.0,F,Poor,0.639,0.283,77,0.314,0.272,0.392,33.7,5.1,2.92,0.247,7,33,8,xBA: 0.272,OPS: 0.639; wOBA: 0.283; wRC+: 77,"{'OPS': {'value': 0.639, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wOBA': {'value': 0.283, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 77, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'xwOBA': {'value': 0.314, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.272, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.392, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 33.7, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'Barrel%': {'value': 5.1, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'K:BB': {'value': 2.92, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",216
Jose Caballero,- - -,320,108,37.0,F,Poor,0.661,0.3,89,0.298,0.223,0.325,30.5,5.3,2.18,0.229,4,32,41,None identified,OPS: 0.661; wOBA: 0.3; wRC+: 89,"{'OPS': {'value': 0.661, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.3, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 89, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.298, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.223, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.325, 'percentile_score': 20, 'weight': 0.1, 'contribution': 2.0}, 'HardHit%': {'value': 30.5, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'Barrel%': {'value': 5.3, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'K:BB': {'value': 2.18, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",217
Ozzie Albies,ATL,586,138,36.4,F,Poor,0.659,0.291,84,0.297,0.242,0.36,30.9,4.1,1.76,0.236,13,61,12,K:BB: 1.76,OPS: 0.659; wOBA: 0.291; wRC+: 84,"{'OPS': {'value': 0.659, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.291, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 84, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'xwOBA': {'value': 0.297, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.242, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.36, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 30.9, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'Barrel%': {'value': 4.1, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'K:BB': {'value': 1.76, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",218
Chandler Simpson,TBR,351,88,36.3,F,Poor,0.666,0.295,85,0.297,0.293,0.335,15.5,0.0,2.02,0.29,0,22,38,xBA: 0.293,OPS: 0.666; wOBA: 0.295; wRC+: 85,"{'OPS': {'value': 0.666, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.295, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 85, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.297, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.293, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.335, 'percentile_score': 20, 'weight': 0.1, 'contribution': 2.0}, 'HardHit%': {'value': 15.5, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'Barrel%': {'value': 0.0, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'K:BB': {'value': 2.02, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",219
Luis Urias,ATH,330,96,36.3,F,Poor,0.653,0.293,83,0.304,0.238,0.352,28.999999999999996,3.6000000000000005,1.45,0.23,8,25,2,K:BB: 1.45,OPS: 0.653; wOBA: 0.293; wRC+: 83,"{'OPS': {'value': 0.653, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.293, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 83, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'xwOBA': {'value': 0.304, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.238, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.352, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 28.999999999999996, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'Barrel%': {'value': 3.6000000000000005, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'K:BB': {'value': 1.45, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",220
Carlos Santana,- - -,456,117,36.0,F,Poor,0.648,0.291,85,0.299,0.225,0.354,36.9,5.1,1.68,0.224,11,52,7,K:BB: 1.68,OPS: 0.648; wOBA: 0.291; wRC+: 85,"{'OPS': {'value': 0.648, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wOBA': {'value': 0.291, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 85, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.299, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.225, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.354, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 36.9, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 5.1, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'K:BB': {'value': 1.68, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",221
Wilmer Flores,SFG,421,111,35.4,F,Poor,0.688,0.304,96,0.282,0.225,0.33,24.0,4.3,2.43,0.243,14,64,1,None identified,OPS: 0.688; wOBA: 0.304; wRC+: 96,"{'OPS': {'value': 0.688, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.304, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 96, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.282, 'percentile_score': 20, 'weight': 0.12, 'contribution': 2.4}, 'xBA': {'value': 0.225, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.33, 'percentile_score': 20, 'weight': 0.1, 'contribution': 2.0}, 'HardHit%': {'value': 24.0, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'Barrel%': {'value': 4.3, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'K:BB': {'value': 2.43, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",222
